OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Bordumsa S.O,Sub Post Office,792056,,BORDUMSA,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bubang B.O,Branch Post Office,792120,,BUBANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Changlang S.O,Sub Post Office,792120,,CHANGLANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Rangfrah Covt College B.O,Branch Post Office,792120,,CHANGLANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Jairampur S.O,Sub Post Office,792121,,JAIRAMPUR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Manmao B.O,Branch Post Office,792121,,JAIRAMPUR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Khemiyong B.O,Branch Post Office,792120,,KHEMIYONG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kherem Bisa B.O,Branch Post Office,792056,,KHEREM BISA,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Lallung B.O,Branch Post Office,792056,,LALLUNG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chopelling B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Deban B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Dharampur B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kharsang B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kutum Basti B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Manabhum B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Miao S.O,Sub Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namchik B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namphai B.O,Branch Post Office,792122,,MIAO,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namdang B.O,Branch Post Office,792120,,NAMDANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namtok B.O,Branch Post Office,792120,,NAMTOK,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
New Mohang B.O,Branch Post Office,792056,,NEW MOHANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Rajanagar B.O,Branch Post Office,792056,,RAJANAGAR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ranglum B.O,Branch Post Office,792120,,RANGLUM,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Gandhigram B.O,Branch Post Office,792055,,VIJOYNAGAR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Two-hat B.O,Branch Post Office,792055,,VIJOYNAGAR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Vijoynagar S.O,Sub Post Office,792055,,VIJOYNAGAR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Vijoypur B.O,Branch Post Office,792056,,VIJOYPUR,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Yangkang B.O,Branch Post Office,792120,,YANGKANG,CHANGLANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Alinye B.O,Branch Post Office,792101,,ALINYE,DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Anelih B.O,Branch Post Office,792101,,ANELIH,DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Anini S.O,Sub Post Office,792101,,ANINI,DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Seijosa S.O,Sub Post Office,790103,,SEIJOSA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bameng B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bana B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chyangtajo B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Khenewa B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
