OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Baghmarabazar S.O,Sub Post Office,781328,,BAGHMARABAZAR,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Baharihat S.O,Sub Post Office,781302,,BAHARIHAT,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barpeta Bazar S.O,Sub Post Office,781301,03665-235117,BARPETA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barpeta H.O,Head Post Office,781301,03665-252148,BARPETA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Thakurbazar S.O,Sub Post Office,781301,,BARPETA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barpeta Road S.O,Sub Post Office,781315,03666-260707,BARPETAROAD,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bhella S.O,Sub Post Office,781309,,BHELLA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bhowanipur S.O,Sub Post Office,781352,,BHOWANIPUR,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Chenga S.O,Sub Post Office,781305,,CHENGA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Howly S.O,Sub Post Office,781316,03666-289420,HOWLY,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Jalahghat S.O,Sub Post Office,781327,,JALAHGHAT,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Kalgachia S.O,Sub Post Office,781319,,KALGACHIA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Kokilabari Farm S.O,Sub Post Office,781330,,KOKILABARI,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Mandia S.O,Sub Post Office,781308,03665-274181,MANDIA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Mayanbari S.O,Sub Post Office,781321,,MAYANBARI,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Nityananda S.O,Sub Post Office,781329,,NITYANANDA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Patacharkuchi S.O,Sub Post Office,781326,03666-268530,PATACHARKUCHI,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bajali College S.O,Sub Post Office,781325,,PATHSALA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Pathsala S.O,Sub Post Office,781325,03666-266420,PATHSALA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Santinagar S.O,Sub Post Office,781314,,SANTINAGAR,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Sarthebari S.O,Sub Post Office,781307,03665-274520,SARTHEBARI,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Sarupeta S.O,Sub Post Office,781316,03666-245501,SARUPETA,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Simlaguri S.O,Sub Post Office,781313,03666-260342,SIMLAGURI,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Sorbhog S.O,Sub Post Office,781317,03666-287438,SORBHOG,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Akaya B.O,Branch Post Office,781329,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Ambari B.O,Branch Post Office,781316,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Amdah B.O,Branch Post Office,781325,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Amguri B.O,Branch Post Office,781317,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Amrikhowa B.O,Branch Post Office,781307,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Anandabazar B.O,Branch Post Office,781316,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Anchali B.O,Branch Post Office,781327,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
B D Pathar B.O,Branch Post Office,781316,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
B Noontola B.O,Branch Post Office,781317,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Baghbar B.O,Branch Post Office,781308,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Baghogra B.O,Branch Post Office,781330,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bagodi B.O,Branch Post Office,781309,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bakua B.O,Branch Post Office,781327,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Balabitha B.O,Branch Post Office,781313,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Balagaon B.O,Branch Post Office,781319,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Balapet B.O,Branch Post Office,781317,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Balikuri B.O,Branch Post Office,781319,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bamakhata B.O,Branch Post Office,781325,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bamunkata B.O,Branch Post Office,781327,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bamunkuchi B.O,Branch Post Office,781326,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Bankubhanga B.O,Branch Post Office,781319,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Baradi B.O,Branch Post Office,781314,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barbala B.O,Branch Post Office,781316,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barbang B.O,Branch Post Office,781325,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
Barengabari B.O,Branch Post Office,781315,,X,BARPETA,ASSAM,NALBARI,GUWAHATI HQ,ASSAM
