OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Kushkapur B.O,Branch Post Office,854334,,ARAIRA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Nawabganj S.O,Sub Post Office,854336,,ARARAIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Rampur B.O,Branch Post Office,854312,,ARARAIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Amgachhi B.O,Branch Post Office,854332,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Amhara B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Araria Bairgachhi B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Araria RS S.O,Sub Post Office,854312,06453-222268,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Araria S.O,Sub Post Office,854311,06453-222199,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Aurahihingua B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
B. Rampur B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bagdahara B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bagulaha B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Baharbari B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Balua Deorhi B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Baluakaliaganj B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bansbari B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bara Ishambara B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bardahahat B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Barhara B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Barmasia Simarbani B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Basaity B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Basmatia B.O,Branch Post Office,854336,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bathnaha S.O,Sub Post Office,854316,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bathraha Asha Bhag B.O,Branch Post Office,854332,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Baturbari B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Baunsi B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bela Basmatia B.O,Branch Post Office,854336,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Belsara B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bhagwa Deviganj B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bhawanipur B.O,Branch Post Office,854336,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bhirbhiri B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bhojpur B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bihari B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bikash Bhargama B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Bochi B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Chakiahat B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Chandardai B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Chatiuna B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Chikanighat B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Chirah B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dabhara B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dalmalpur B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dehati B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Deorea Sonapur B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dharhmagtanj B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dholbazza B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Dubha B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Fatehpur B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
