OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Sector 21 (Chandigarh) S.O,Sub Post Office,160022,0172-2704983, CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 22 (Chandigarh) S.O,Sub Post Office,160022,0172-2700925, CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 23 ( Chandigarh) S.O,Sub Post Office,160023,0172-2700191, CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 26 (Chandigarh) S.O,Sub Post Office,160019,0172-2790342, CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 16 (Chandigarh) S.O,Sub Post Office,160015,0172-2770981,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 18 (Chandigarh) S.O,Sub Post Office,160018,0172-2774064,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 19 (Chandigarh) S.O,Sub Post Office,160019,0172-2775895,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 47 Chandigarh S.O,Sub Post Office,160047,0172-2630719,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 8(Chandgarh) S.O,Sub Post Office,160009,0172-2781599,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Sector 9 (Chandigarh) S.O,Sub Post Office,160009,0172-2749828,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Vidhansadan S.O,Sub Post Office,160001,0172-2749801,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Behlolpur B.O,Branch Post Office,160014,,PU CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Abiana B.O,Branch Post Office,140119,,ROPAR,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Ajauli B.O,Branch Post Office,140125,,ROPAR,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Balongi B.O,Branch Post Office,140301,,ROPAR,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Kalitran B.O,Branch Post Office,140133,,ROPAR,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Dhanas B.O,Branch Post Office,160014,,SECTOR 14 PO CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Tira B.O,Branch Post Office,160014,,SECTOR 14 PO CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Aerodrome S.O,Sub Post Office,160003,0172-2641150,UT,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Airforce Highground S.O,Sub Post Office,160004,01762-287998,UT,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
Chandigarh G.P.O. ,Head Post Office,160017,0172-2702170,UT,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH HQ,PUNJAB
