OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Adawal B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Amaguda B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Asna S.O,Sub Post Office,494221,07782-261279,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Babusemra B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badanji B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badeamabal B.O,Branch Post Office,494224,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badebodenar B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badechakwa B.O,Branch Post Office,494223,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badedeoda B.O,Branch Post Office,494222,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badedharaur B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badekakloor B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Badekilepal B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bademurma B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Baghmohlai B.O,Branch Post Office,494223,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bajawand B.O,Branch Post Office,494221,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bakawand S.O,Sub Post Office,494222,07867-289241,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Baniyagaon B.O,Branch Post Office,494224,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Barda B.O,Branch Post Office,494222,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bastanar B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bastar S.O,Sub Post Office,494223,07782-262230,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Belar B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bhainsgaon B.O,Branch Post Office,494223,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bhanpuri Basti B.O,Branch Post Office,494224,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Bhanpuri S.O,Sub Post Office,494224,07867-282630,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Binta B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Burdi B.O,Branch Post Office,494111,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chapka B.O,Branch Post Office,494224,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chhaparbhanpuri B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chingpal B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chitaloor B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chitapur B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chitrakote B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chiurgaon B.O,Branch Post Office,494222,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chokar B.O,Branch Post Office,494223,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Chotedeoda B.O,Branch Post Office,494221,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Dhanpunji B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Dharampura S.O,Sub Post Office,494005,07782-229140,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Dilmili B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Dimrapal B.O,Branch Post Office,494001,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Dubeumargaon B.O,Branch Post Office,494223,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Ermur B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Errakot B.O,Branch Post Office,494442,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Gadhiya B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Garda B.O,Branch Post Office,494010,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
Garenga B.O,Branch Post Office,494224,,JAGDALPUR,BASTAR,CHATTISGARH,BASTAR,RAIPUR,CHATTISGARH
