OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Amboli B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Amli B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Athola B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Bedpa B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Bonta B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Chibhadkutch B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Chikhli B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Chinchpada B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Chisda B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Rakholi B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Rudana B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Saily B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Samarvarni B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Selti B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Sili B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Silvassa S.O,Sub Post Office,396230,0260-2640950,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Sindoni B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Surangi B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Umarkui B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Vasona B.O,Branch Post Office,396240,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Velugam B.O,Branch Post Office,396230,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Dungra B.O,Branch Post Office,396193,,PARDI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
Karvad B.O,Branch Post Office,396193,,PARDI,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,VALSAD,VADODARA,GUJARAT
