OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Bhimpore B.O,Branch Post Office,396210,,DAMAN,DAMAN,DAMAN & DIU,VALSAD,VADODARA,GUJARAT
Dabhel B.O,Branch Post Office,396215,,DAMAN,DAMAN,DAMAN & DIU,VALSAD,VADODARA,GUJARAT
Daman I.E. S.O,Sub Post Office,396215,0260-2244001,DAMAN,DAMAN,DAMAN & DIU,VALSAD,VADODARA,GUJARAT
Daman S.O,Sub Post Office,396210,0260-2254353,DAMAN,DAMAN,DAMAN & DIU,VALSAD,VADODARA,GUJARAT
Varkund B.O,Branch Post Office,396210,,DAMAN,DAMAN,DAMAN & DIU,VALSAD,VADODARA,GUJARAT
Bucharvada B.O,Branch Post Office,362570,,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
Diu S.O,Sub Post Office,362520,02875-253200,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
Diu Zampa S.O,Sub Post Office,362520,02875-252167,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
Fudam B.O,Branch Post Office,362520,,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
Ghoghla S.O,Sub Post Office,362540,02875-252127,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
Wanakbara S.O,Sub Post Office,362570,02875-271321,Diu Union Territory,DIU,DAMAN & DIU,JUNAGADH,RAJKOT,GUJARAT
