OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Hauz Qazi S.O,Sub Post Office,110006,011-23278976,DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Jama Masjid S.O,Sub Post Office,110006,011-23278981,DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
A.G.C.R. S.O,Sub Post Office,110002,011-23702285,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
A.K.Market S.O,Sub Post Office,110055,011-23588870,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Ajmeri Gate Extn. S.O,Sub Post Office,110002,011-23230869,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Anand Parbat Indl. Area S.O,Sub Post Office,110005,011-25729297,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Anand Parbat S.O,Sub Post Office,110005,011-28763724,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Bank Street S.O,Sub Post Office,110005,011-28751331,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Baroda House S.O,Sub Post Office,110001,011-23388895,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Bengali Market S.O,Sub Post Office,110001,011-23715746,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Bhagat Singh Market S.O,Sub Post Office,110001,011-23364908,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Connaught Place S.O,Sub Post Office,110001,011-23324214,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Constitution House S.O,Sub Post Office,110001,011-23385596,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Dada Ghosh Bhawan S.O,Sub Post Office,110008,011-25708621,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Darya Ganj S.O,Sub Post Office,110002,011-23270881,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Delhi High Court S.O,Sub Post Office,110003,011-23388728,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Desh Bandhu Gupta Road S.O,Sub Post Office,110005,011-28723522,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Election Commission S.O,Sub Post Office,110001,011-23718166,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Gandhi Smarak Nidhi S.O,Sub Post Office,110002,011-23312369,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Guru Gobind Singh Marg S.O,Sub Post Office,110005,011-28713522,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Gym Khana Club S.O,Sub Post Office,110011,011-23016041,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
I.A.R.I. S.O,Sub Post Office,110012,011-25841007,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
I.P.Estate S.O,Sub Post Office,110002,011-23370279,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Inderpuri S.O,Sub Post Office,110012,011-25833606,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Indraprastha H.O,Head Post Office,110002,011-23234611,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Janpath S.O,Sub Post Office,110001,011-23350528,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Karol Bagh S.O,Sub Post Office,110005,011-28752040,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Krishi Bhawan S.O,Sub Post Office,110001,011-23385584,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Lady Harding Medical College S.O,Sub Post Office,110001,011-23745547,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Master Prithvi Nath Marg S.O,Sub Post Office,110005,011-23524128,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Minto Road S.O,Sub Post Office,110002,011-23235048,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Multani Dhanda S.O,Sub Post Office,110055,011-23615857,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
National Physical Laboratory S.O,Sub Post Office,110012,011-25841150,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Nirman Bhawan S.O,Sub Post Office,110011,011-23062016,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
North Avenue S.O,Sub Post Office,110001,011-23094239,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Pahar Ganj S.O,Sub Post Office,110055,011-23582573,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Pandara Road S.O,Sub Post Office,110003,011-23387407,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Parliament House S.O,Sub Post Office,110001,011-23017346,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
Patel Nagar East S.O,Sub Post Office,110008,011-25784721,NEW DELHI,CENTRAL DELHI,DELHI,NEW DELHI CENTRAL,DELHI,DELHI
