OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Aldona S.O,Sub Post Office,403508,0832-2289622,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Alto Betim S.O,Sub Post Office,403521,0832-2410025,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Anjuna S.O,Sub Post Office,403509,0832-2274728,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Arambol S.O,Sub Post Office,403524,0832-2242965,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Arpora B.O,Branch Post Office,403516,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Assagao B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Assonora S.O,Sub Post Office,403503,0832-2215221,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Baga B.O,Branch Post Office,403516,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Bastora B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Betim S.O,Sub Post Office,403101,0832-2417706,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Caisua B.O,Branch Post Office,403509,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Calangute S.O,Sub Post Office,403516,0832-2276030,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Calvim B.O,Branch Post Office,403523,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Camurlim B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Canca B.O,Branch Post Office,403510,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Candolim S.O,Sub Post Office,403515,0832-2489298,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Carona S.O,Sub Post Office,403523,0832-2293230,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Colvale S.O,Sub Post Office,403513,0832-2299834,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Corjuim B.O,Branch Post Office,403508,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Dhagalim B.O,Branch Post Office,403513,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Gurim B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Mapusa I.E. S.O,Sub Post Office,403507,0832-2262639,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Mapusa S.O,Sub Post Office,403507,0832-2262235,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Menkurim B.O,Branch Post Office,403513,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Moira B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Nachinola B.O,Branch Post Office,403508,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Oxel B.O,Branch Post Office,403517,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Parra S.O,Sub Post Office,403510,0832-2472398,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Penha De France B.O,Branch Post Office,403101,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Pernem S.O,Sub Post Office,403512,0832-2201230,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Pilerne B.O,Branch Post Office,403114,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Pirna B.O,Branch Post Office,403513,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Pomburpa B.O,Branch Post Office,403523,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Porvorim S.O,Sub Post Office,403501,0832-2417891,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Revora B.O,Branch Post Office,403513,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Saipem B.O,Branch Post Office,403515,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Saligao S.O,Sub Post Office,403511,0832-2278362,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Salvador De Mond B.O,Branch Post Office,403101,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Sangolda B.O,Branch Post Office,403511,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Sem Saligao B.O,Branch Post Office,403511,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Sinquerim S.O,Sub Post Office,403515,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Siolim S.O,Sub Post Office,403517,0832-2272221,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Tivim Ie S.O,Sub Post Office,403526,0832-2257210,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Tivim S.O,Sub Post Office,403502,0832-2298587,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Ucassiam B.O,Branch Post Office,403507,,BARDEZ,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
Advalpal B.O,Branch Post Office,403503,,BICHOLIM,NORTH GOA,GOA,GOA,GOA-PANAJI,MAHARASHTRA
