OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Ahmedabad G.P.O. ,Head Post Office,380001,079-25510027,Ahmedabad,AHMEDABAD,GUJARAT,Ahmedabad GPO,AHMEDABAD HQ,GUJARAT
Ambawadi S.O,Sub Post Office,380006,079-26441485,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ambawadi Vistar S.O,Sub Post Office,380015,079-26614688,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Amraiwadi S.O,Sub Post Office,380026,079-22782047,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Anandnagar S.O,Sub Post Office,380007,079-26601540,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Asarwa Chakla S.O,Sub Post Office,380016,079-22137827,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Asarwa Ext South S.O,Sub Post Office,380024,079-22762292,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ashram Road S.O,Sub Post Office,380009,079-26589530,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Azad Society S.O,Sub Post Office,380015,079-26304221,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Bapunagar S.O,Sub Post Office,380024,079-22741545,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Behrampura S.O,Sub Post Office,380022,079-25398668,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Bhairavnath Road S.O,Sub Post Office,380028,079-25430125,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Bilasia B.O,Branch Post Office,382330,,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Bodakdev S.O,Sub Post Office,380054,079-26853461,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Calico Mills S.O,Sub Post Office,380022,079-25384816,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Cantonment S.O,Sub Post Office,380004,079-22865702,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Civil Hospital S.O,Sub Post Office,380016,079-22683806,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ctm Char Rasta S.O,Sub Post Office,380026,079-25850026,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
D Cabin S.O,Sub Post Office,380019,079-27501590,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Dariapur S.O,Sub Post Office,380001,079-22139505,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Daxini Society S.O,Sub Post Office,380008,079-25451894,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Delhi Gate S.O,Sub Post Office,380004,079-25626995,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
District Court S.O,Sub Post Office,380001,079-25507705,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Dudheshwar Tavdipura S.O,Sub Post Office,380004,079-25626100,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ellisbridge S.O,Sub Post Office,380006,079-26576177,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gandhi Ashram S.O,Sub Post Office,380027,079-27559068,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gandhi Road S.O,Sub Post Office,380001,079-22139481,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ghatlodia S.O,Sub Post Office,380061,079-27661265,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gheekanta Road S.O,Sub Post Office,380001,079-25626773,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Ghodasar S.O,Sub Post Office,380050,079-25326792,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Girdharnagar S.O,Sub Post Office,380004,079-22867341,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gita Mandir Road S.O,Sub Post Office,380022,079-25390096,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gomtipur S.O,Sub Post Office,380021,079-22941727,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
Gujarat University S.O,Sub Post Office,380009,079-26300445,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
I E Bapunagar S.O,Sub Post Office,380024,079-22740036,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
I I M S.O,Sub Post Office,380015,079-26302035,AHMEDABAD,AHMEDABAD,GUJARAT,AHMEDABAD CITY,AHMEDABAD HQ,GUJARAT
