OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Derasalimpur B.O,Branch Post Office,133201,,.,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
A.K. Line S.O,Sub Post Office,133001,0171-2645756,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Adhoya S.O,Sub Post Office,133205,0171-283090,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Adhoyi B.O,Branch Post Office,133205,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Alipur Jahangir B.O,Branch Post Office,133202,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Ambala City H.O,Head Post Office,134003,0171-2556746,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Ambala G.P.O. ,Head Post Office,133001,0171-2640952,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Auto  Industries S.O,Sub Post Office,135001,01732-250602,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Babyal S.O,Sub Post Office,133005,0171-2669597,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Baknaur B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Ballana B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Bara B.O,Branch Post Office,133004,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Barara S.O,Sub Post Office,133201,01731-283022,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Baraula B.O,Branch Post Office,133004,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Bhanokheri B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Bhareli B.O,Branch Post Office,134118,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Bhojkoti B.O,Branch Post Office,134205,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Bihta S.O,Sub Post Office,133101,0171-2823702,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Boh S.O,Sub Post Office,133021,0171-123456,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Chaurmastpur B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Chudiala B.O,Branch Post Office,133102,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Commissioner Court S.O,Sub Post Office,133001,0171-2630496,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Danipur B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhanana B.O,Branch Post Office,134201,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhanaura B.O,Branch Post Office,133203,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhankaur B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhin S.O,Sub Post Office,133202,0171-276703,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhulkot B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dhurkara B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dinarpur B.O,Branch Post Office,133102,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Dukheri B.O,Branch Post Office,133004,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Duliani B.O,Branch Post Office,133202,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Durana B.O,Branch Post Office,133004,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Fatehgarh B.O,Branch Post Office,134201,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Ghail B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Gobind Nagar S.O,Sub Post Office,133001,0171-2651040,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Gokal Garh B.O,Branch Post Office,133203,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Hargolal S.O,Sub Post Office,133001,0171-2630195,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Holi B.O,Branch Post Office,133201,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
I.A.F.Line S.O,Sub Post Office,133001,0171-2630945,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Ind-estate S.O,Sub Post Office,133006,0171-2699616,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Jalbera B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Jansui B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kacha Bazar S.O,Sub Post Office,133001,0171-2618141,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kakroo B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kalarehri B.O,Branch Post Office,133001,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kalpi B.O,Branch Post Office,133104,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kambassi B.O,Branch Post Office,133205,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
Kanwala B.O,Branch Post Office,134003,,Ambala,AMBALA,HARYANA,AMBALA,AMBALA  HQ,HARYANA
