OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Ahalangodol B.O,Branch Post Office,192202,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Akhal B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Akingam B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Anantnag City S.O,Sub Post Office,192122,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Arrah B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Arwani B.O,Branch Post Office,192124,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Ashmuji B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Beerwara B.O,Branch Post Office,192401,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Bijbehara S.O,Sub Post Office,192124,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Brah B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Brinal Lamar B.O,Branch Post Office,192102,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Buchoo B.O,Branch Post Office,192202,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Buchroo B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Bulbul Nowgam B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Bumthan B.O,Branch Post Office,192102,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chadder B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chakilpora B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chambgund B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chanderwadi (Sessional) S.O,Sub Post Office,192230,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chattargui B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chitragam B.O,Branch Post Office,192124,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Chowgam B.O,Branch Post Office,192102,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Dalseer B.O,Branch Post Office,192401,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Danipora B.O,Branch Post Office,192202,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Dethunagnarian B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Devsar B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Dhane Bougund B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Dhawtoo B.O,Branch Post Office,192401,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Digripora B.O,Branch Post Office,192124,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Fatehpora B.O,Branch Post Office,192211,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Gadipora B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Gosani Gund B.O,Branch Post Office,192211,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Guddar B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
H.C.Gam B.O,Branch Post Office,192231,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Hakura Badasgam B.O,Branch Post Office,192211,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Hardtour B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Hiller Arahama B.O,Branch Post Office,192201,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Hiller Shahabad B.O,Branch Post Office,192211,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
Hugam B.O,Branch Post Office,192401,,.,ANANTHNAG,JAMMU & KASHMIR,SRINAGAR,SRINAGAR HQ,JAMMUKASHMIR
