OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Lakrakhanda B.O,Branch Post Office,827010,,.,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Makdumpur B.O,Branch Post Office,827010,,.,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Maliachak B.O,Branch Post Office,814155,,.,BOKARO,JHARKHAND,SANTHAL PARGANAS,RANCHI,JHARKHAND
Sibandih B.O,Branch Post Office,827010,,.,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Turio B.O,Branch Post Office,829132,,.,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Amlo B.O,Branch Post Office,829104,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Angwali B.O,Branch Post Office,825102,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Argamo B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Bedkaro B.O,Branch Post Office,829127,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chalkari B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Guniato B.O,Branch Post Office,829107,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Gunjardih B.O,Branch Post Office,829132,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Hazari B.O,Branch Post Office,829128,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Jaina S.O,Sub Post Office,829301,06542-250430,BERMO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kanjkiro B.O,Branch Post Office,829107,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Kasmar S.O,Sub Post Office,827302,,BERMO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Khetko B.O,Branch Post Office,829113,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Kurumba B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Makoli B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Narayanpur B.O,Branch Post Office,829107,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Narra B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Palamu B.O,Branch Post Office,825102,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Parasbani B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Pichari B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Potso B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Tantri B.O,Branch Post Office,829114,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Taranari B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Taranga B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Telo B.O,Branch Post Office,828403,,Bermo,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Adrakuri B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Alkusa B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Amdiha B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Arajoo B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Artah B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
B.Pindragoria B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bagda B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bahadurpur B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Baidmara B.O,Branch Post Office,827009,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bandhdih B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Banstore B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Barmasia B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Baroo B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Batbinore B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bermo S.O,Sub Post Office,829104,06549-220231,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Bhandaridah S.O,Sub Post Office,829132,,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Bhaski B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bijulia B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bokaro Steel City H.O,Head Post Office,827001,06542-247781,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Bokaro Thermal S.O,Sub Post Office,829107,06549-266456,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
