OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Muttam B.O,Branch Post Office,690103,,.,ALAPPUZHA,KERALA,MAVELIKARA,KOCHI,KERALA
Amabalapuzha East S.O,Sub Post Office,688565,0477-2272009,AMABALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Thiruvampady Junction S.O,Sub Post Office,688002,0477-2253423,AMBALAPUHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha North S.O,Sub Post Office,688007,0477-2245275,AMBALAPUZH A,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha Bazar S.O,Sub Post Office,688012,0477-2243256,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha Collectorate S.O,Sub Post Office,688001,0477-2252205,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha District Hospital S.O,Sub Post Office,688011,0477-2252759,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha H.O,Head Post Office,688001,0477-2245334,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha Iron Bridge S.O,Sub Post Office,688011,0477-2251145,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha Medical College S.O,Sub Post Office,688005,0477-2282041,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Alappuzha Mullackal S.O,Sub Post Office,688011,0477-2252494,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Ambalapuzha S.O,Sub Post Office,688561,0477-2272034,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Avalukunnu S.O,Sub Post Office,688006,0477-2235452,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Chungom B.O,Branch Post Office,688011,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Illichira B.O,Branch Post Office,688561,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kakkazhom B.O,Branch Post Office,688005,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kalvoor S.O,Sub Post Office,688522,0477-2292345,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kanjipadom B.O,Branch Post Office,688005,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kanjiramchira B.O,Branch Post Office,688007,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Karumady S.O,Sub Post Office,688564,0477-2272038,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kattoor Kalavoor S.O,Sub Post Office,688546,0477-2258270,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Komalapuram B.O,Branch Post Office,688006,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kommady Ward B.O,Branch Post Office,688007,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kottankulangara B.O,Branch Post Office,688006,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Kuppapuram B.O,Branch Post Office,688011,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Mannancherry S.O,Sub Post Office,688538,0477-2292472,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Pathirappally S.O,Sub Post Office,688521,0477-2258376,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Pazhaveedu S.O,Sub Post Office,688009,0477-2267290,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Pollethai S.O,Sub Post Office,688567,0478-2862450,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Ponnad B.O,Branch Post Office,688538,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Punnapra North S.O,Sub Post Office,688014,0477-2268806,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Punnapra S.O,Sub Post Office,688004,0477-2287920,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Purakad S.O,Sub Post Office,690551,0477-2272050,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Sanathanpuram S.O,Sub Post Office,688003,0477-2266036,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Thathampally S.O,Sub Post Office,688013,0477-2254907,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Thottappally S.O,Sub Post Office,688563,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Thumpoly S.O,Sub Post Office,688008,0477-2245226,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Vadackal B.O,Branch Post Office,688003,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Vattayal Ward B.O,Branch Post Office,688002,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Vembanad Kayal B.O,Branch Post Office,688006,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Vysombhagom B.O,Branch Post Office,688005,,AMBALAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
Thondankulangara S.O,Sub Post Office,688013,0477-2245498,AMBLAPUZHA,ALAPPUZHA,KERALA,ALLEPPEY,KOCHI,KERALA
