OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Amai Colliery S.O,Sub Post Office,484116,07805-257930,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Anuppur Basti B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Anuppur S.O,Sub Post Office,484224,07659-222008,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Audhera B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bahgarh B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Balbahra B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bamhani B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Barbaspur B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bargawan B.O,Branch Post Office,484117,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Batura B.O,Branch Post Office,484001,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Chachai S.O,Sub Post Office,484220,07659-263221,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Chhilpa B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dhangawan B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dhurwasin B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dulhara B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jamudi B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kelhauri B.O,Branch Post Office,484001,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Keshwahi B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khamhidol B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khoh B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Malya B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Mediaras B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Pasla B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Patnakalan B.O,Branch Post Office,484001,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Piparia B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Rampur B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
S.K. Nagar S.O,Sub Post Office,484120,07652-282219,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Sonmauhari B.O,Branch Post Office,484224,,Anuppur,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Amgawan B.O,Branch Post Office,484330,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Beed B.O,Branch Post Office,484113,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Cholna B.O,Branch Post Office,484113,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dhangawan B.O,Branch Post Office,484330,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Gaurela B.O,Branch Post Office,484330,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Gorsi B.O,Branch Post Office,484330,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jaithari S.O,Sub Post Office,484330,07659-262220,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Laharpur B.O,Branch Post Office,484330,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Lapta B.O,Branch Post Office,484113,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Pondi B.O,Branch Post Office,484113,,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Venkatnagar S.O,Sub Post Office,484113,07659-261235,Jaithari,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Badra Colliery B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
