OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Sarola Kasar B.O,Branch Post Office,414005,,AHMEDANGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Shiradhon B.O,Branch Post Office,414001,,AHMEDANGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ac.Depot S.O,Sub Post Office,414001,0241-2324388,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Agadgaon B.O,Branch Post Office,414002,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ahmednagar Camp S.O,Sub Post Office,414002,0241-2325016,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ahmednagar City S.O,Sub Post Office,414001,0241-2355065,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ahmednagar H.O,Head Post Office,414001,0241-2355013,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ahmednagar R.S. S.O,Sub Post Office,414005,0241-2550913,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Akolner B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Anandibazar S.O,Sub Post Office,414001,0241-2355283,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Astagaon B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Baburdi Ghumat B.O,Branch Post Office,414006,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Bhatodi B.O,Branch Post Office,414201,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Bhingar S.O,Sub Post Office,414002,0241-2442021,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Bhingar Wes S.O,Sub Post Office,414002,0241-2441955,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Bhorwadi B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Bhoyare Pathar B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Burhan Nagar B.O,Branch Post Office,414002,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Chas B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Chichondi Patil S.O,Sub Post Office,414201,0241-2690121,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Dehere B.O,Branch Post Office,414111,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Deulgaon Sidhhi B.O,Branch Post Office,414006,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Dharewadi B.O,Branch Post Office,414002,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Ghospuri B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Gunwadi B.O,Branch Post Office,414001,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Hivare Zare B.O,Branch Post Office,414006,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Jeur S.O,Sub Post Office,414601,0241-2744121,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Kamargaon B.O,Branch Post Office,414005,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Kapurwadi B.O,Branch Post Office,414001,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Karjune Khare B.O,Branch Post Office,414111,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Kaudgaon B.O,Branch Post Office,414001,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Kedgaon S.O,Sub Post Office,414005,0241-2550913,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Khandala B.O,Branch Post Office,414006,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
M.G.Udyan S.O,Sub Post Office,414001,0241-2354487,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Mehekari B.O,Branch Post Office,414001,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
Meherabad B.O,Branch Post Office,414006,,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
MIDC (ANR) S.O,Sub Post Office,414111,0241-2777818,AHMEDNAGAR,AHMED NAGAR,MAHARASHTRA,AHMEDNAGAR,PUNE,MAHARASHTRA
