OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Awangjiri B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Bishnupur S.O,Sub Post Office,795126,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Boroyangbi B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Bunglon B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Bungte Chiru B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Charoi Khullel B.O,Branch Post Office,795124,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Dolang B.O,Branch Post Office,795118,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Dolang B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Dolang Khunou B.O,Branch Post Office,795126,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Dopkon B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Ethai Bazar B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Gelmol B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Haotak Khullen B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Haotakphailen B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Heikrujam B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Irengbam B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Isok B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Jiban Nager B.O,Branch Post Office,795124,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Kabowakching B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Kamong B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Kangathei B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Keinou B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khabi B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khathinunggei B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khoijuman B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khoirentak B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khongbung B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khordak Ichin B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khousabung B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Khunpi Naosem B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Kumbi (P) B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Kwakta B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Lamdangmei B.O,Branch Post Office,795126,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Langpok B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Leimapokpam B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Leimatak B.O,Branch Post Office,795124,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Leimram B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Loktak Project S.O,Sub Post Office,795124,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Maibam B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Manamayang B.O,Branch Post Office,795134,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Mayuran B.O,Branch Post Office,795124,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Moirang S.O,Sub Post Office,795133,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Molphei Tampak B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Nabil (P) B.O,Branch Post Office,795133,,nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
Nambol S.O,Sub Post Office,795134,,Nil,BISHNUPUR,MANIPUR,MANIPUR,NORTH EASTERN,NORTH EASTERN
