OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Jadigitim B.O,Branch Post Office,794107,,NANGWALBIBRA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Dagal B.O,Branch Post Office,794108,,RESUBELPARA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Daram B.O,Branch Post Office,794108,,RESUBELPARA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Haluapara B.O,Branch Post Office,794108,,RESUBELPARA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongrong B.O,Branch Post Office,794108,,RESUBELPARA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Thapa B.O,Branch Post Office,794108,,RESUBELPARA,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Dabu B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Dainadubi B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Darugiri B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Gairong B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Mangsang B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Nongcharan B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Ronga Agal B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongchek Akhong B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongjeng S.O,Sub Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongmil B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Wagachi B.O,Branch Post Office,794110,,RONGJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Dokangsi B.O,Branch Post Office,794110,,RONJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Gambil B.O,Branch Post Office,794110,,RONJENG,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Balkinigiri B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rombagiri B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongrengiri B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Rongsakgiri B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Sakhadongiri B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Samanda B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Songsak B.O,Branch Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Williamnagar S.O,Sub Post Office,794111,,WILLIAMNAGAR,EAST GARO HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Tynger B.O,Branch Post Office,793113,, MAWSYNRAM,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Gumaghat B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Khonjoy B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Makali B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Mawput B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Munai B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Neigrihms S.O,Sub Post Office,793018,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Pyndeng Sohsaw B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Sonatola B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Telsora B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Trangpleng B.O,Branch Post Office,793106,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
Wahkdait B.O,Branch Post Office,793109,,.,EAST KHASI HILLS,MEGHALAYA,MEGHALAYA,SHILLONG HQ,NORTH EASTERN
