OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Bualpui H B.O,Branch Post Office,796581,,.,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Aibawk S.O,Sub Post Office,796190,0389-2578377,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Hmuifang B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Lamchhip B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Maubuang B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Phulpui B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Sailam B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Samlukhai B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Sateek B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Sumsuih B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Tachhip B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Thiak B.O,Branch Post Office,796190,,AIBAWK,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Aizawl H.O,Head Post Office,796001,0389-2328023,AIZAWL,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Bawngkawn S.O,Sub Post Office,796014,0389-2346115,BAWNGKAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Lungdai B.O,Branch Post Office,796014,,BAWNGKAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Muthi B.O,Branch Post Office,796014,,BAWNGKAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Selesih B.O,Branch Post Office,796014,,BAWNGKAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Zanlawn B.O,Branch Post Office,796014,,BAWNGKAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Armed Veng B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Bethlehem B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Bukpui B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Chandmary S.O,Sub Post Office,796007,0389-2341204,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Electric Veng B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Lungmuat B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
N.Chaltlang B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
N.Hlimen B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Ramthar B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Serkhan B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Thingthelh B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Tuithiang B.O,Branch Post Office,796007,,CHANDMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Nisapui B.O,Branch Post Office,796007,,CHANMARY,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Darlawn S.O,Sub Post Office,796111,0389-2569338,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Khawpuar B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Lungsum B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Mauchar B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
N.Serzawl B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
N.Tinghmun B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
New Vervek B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Palsang B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Ratu B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Sailutar B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Sakawrdai B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
Thingsat B.O,Branch Post Office,796111,,DARLAWN,AIZAWL,MIZORAM,MIZORAM,NORTH EASTERN,NORTH EASTERN
