OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Aoyimti B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Daroga Pathar B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Diphupar B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Eralibill B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Showba Old B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Suger Mill B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sukhovi B.O,Branch Post Office,797115,,ARTC,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Khopoanaula B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Moaikam B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Nihekhu B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
P C College B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pimla B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Tenyiphe B.O,Branch Post Office,797103,,CHUMUKEDIMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Artc S.O,Sub Post Office,797115,03862-243389,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chumukedima S.O,Sub Post Office,797103,03862-240450,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Circular Road S.O,Sub Post Office,797117,,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Dimapur Bazar S.O,Sub Post Office,797116,03862-230413,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Dimapur S.O,Sub Post Office,797112,03862-229193,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Medziphema S.O,Sub Post Office,797106,03862-247262,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
New Nepaligaon S.O,Sub Post Office,797113,03862-234807,DIMAPUR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Khehekhu B.O,Branch Post Office,797116,,DIMAPUR BAZAR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kuhuboto B.O,Branch Post Office,797116,,DIMAPUR BAZAR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kushiabill B.O,Branch Post Office,797116,,DIMAPUR BAZAR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Padampukhuri B.O,Branch Post Office,797116,,DIMAPUR BAZAR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Vihokhu B.O,Branch Post Office,797116,,DIMAPUR BAZAR,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Doyapur B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Hening Kunglwa B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Jalukiekam B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Khermahal B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kuda B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Nuiland B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Phaipijan B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pwd Colony B.O,Branch Post Office,797117,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Ralan B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Rangapahar B.O,Branch Post Office,797117,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Razaphima B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Singal Village B.O,Branch Post Office,797117,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Singrijan B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Thahekhu B.O,Branch Post Office,797117,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Yampha B.O,Branch Post Office,797112,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Zeliangrong B.O,Branch Post Office,797117,,DIMAPUR MDG,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
