OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Angul Bazar S.O,Sub Post Office,759122,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Angul H.O,Head Post Office,759122,06764-230595,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Ankula B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Arahat B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Badakantakul B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Badakera B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Badakhali B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Badkerjang B.O,Branch Post Office,759143,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Bagedia S.O,Sub Post Office,759141,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Balanga B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Balaramprasad B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Balasinga B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Balipatta B.O,Branch Post Office,759124,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Baluakata B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Banarpal S.O,Sub Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Bantala S.O,Sub Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Baragounia B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Barasahi B.O,Branch Post Office,759141,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Basala B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Basantapur B.O,Branch Post Office,759141,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Bedasasan B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Bonda B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Brahmanbil B.O,Branch Post Office,759130,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Budhapanka B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Champatimunda B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Changudia B.O,Branch Post Office,759130,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Dhokuta B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Garh Santiri B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Garh Taras B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Golabandha B.O,Branch Post Office,759143,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Gotamara B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Hakimpada S.O,Sub Post Office,759143,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Hamamira B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Hulurisinga S.O,Sub Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Inkarabandha B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Jagannathpur B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Jarasingha B.O,Branch Post Office,759143,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kalandapal B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kampsala B.O,Branch Post Office,759130,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kanaloi B.O,Branch Post Office,759141,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kandasar B.O,Branch Post Office,759145,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kangula B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Karadagadia B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Khalari B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Khalibereni B.O,Branch Post Office,759128,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Khandahatta B.O,Branch Post Office,759132,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Khinda B.O,Branch Post Office,759129,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kosala S.O,Sub Post Office,759130,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
Kuio B.O,Branch Post Office,759123,,ANGUL,ANGUL,ORISSA,DHENKANAL,SAMBALPUR,ORISSA
