OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Akkaraivattam B.O,Branch Post Office,609604,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Ambagarathur S.O,Sub Post Office,609601,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Dharmapuram B.O,Branch Post Office,609602,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karaikal Bazaar S.O,Sub Post Office,609602,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karaikal S.O,Sub Post Office,609602,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karaikal South S.O,Sub Post Office,609602,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karaikalmedu B.O,Branch Post Office,609605,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karaikoilpathu B.O,Branch Post Office,609605,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Karukangudi B.O,Branch Post Office,609607,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Kottuchery S.O,Sub Post Office,609609,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Kurumbagaram B.O,Branch Post Office,609603,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Madagadi B.O,Branch Post Office,609602,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Melakasakudi B.O,Branch Post Office,609603,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Nallambal B.O,Branch Post Office,609601,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Nallathur B.O,Branch Post Office,609603,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Nedungadu S.O,Sub Post Office,609603,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Neravy S.O,Sub Post Office,609604,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Seithur B.O,Branch Post Office,609601,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Sellur B.O,Branch Post Office,609607,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Surakudi B.O,Branch Post Office,609607,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
T.R.Pattinam South B.O,Branch Post Office,609606,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Thalatheru S.O,Sub Post Office,609605,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Tirumalairayanpattinam S.O,Sub Post Office,609606,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Tirunallar S.O,Sub Post Office,609607,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Tiruvettakudi B.O,Branch Post Office,609609,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Varichikudi B.O,Branch Post Office,609609,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Vizhithiyur B.O,Branch Post Office,609607,,KARAIKAL,KARAIKAL,PONDICHERRY,NAGAPATTINAM,TIRUCHY,TAMILNADU
Naluthara S.O,Sub Post Office,673320,0496-2332315,MAHE UT,MAHE,PONDICHERRY,VADAKARA,CALICUT,KERALA
Pallur S.O,Sub Post Office,673333,0496-2332450,MAHE UT,MAHE,PONDICHERRY,VADAKARA,CALICUT,KERALA
Padmini  Nagar S.O,Sub Post Office,605012,,PODICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Abishegapakkam B.O,Branch Post Office,605007,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Ariyankuppam S.O,Sub Post Office,605007,0413-2600105,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Arumbarthapuram B.O,Branch Post Office,605110,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Bahoor S.O,Sub Post Office,607402,0413-2633680,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Botanical Garden S.O,Sub Post Office,605001,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Calapet B.O,Branch Post Office,605014,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Pondicherry H.O,Head Post Office,605001,0413-2336532,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Pondicherry North S.O,Sub Post Office,605001,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Pondicherry University S.O,Sub Post Office,605014,0413-2655155,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
Pooranankuppam B.O,Branch Post Office,605007,,PONDICHERRY,PONDICHERRY,PONDICHERRY,PONDICHERRY,CHENNAI HQ,TAMILNADU
