OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Chheherta S.O,Sub Post Office,143105,0183-2258217, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Sohal B.O,Branch Post Office,143202,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Thatian Mahatan B.O,Branch Post Office,143409,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Thoba B.O,Branch Post Office,143102,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Thothian B.O,Branch Post Office,143111,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Tmmowal B.O,Branch Post Office,143119,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Uggar Aulakh B.O,Branch Post Office,143102,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Usman B.O,Branch Post Office,143411,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Vachhoa B.O,Branch Post Office,143406,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Vallah B.O,Branch Post Office,143501,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Vanike B.O,Branch Post Office,143108,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Varnala B.O,Branch Post Office,143416,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Viring B.O,Branch Post Office,143117,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadal Johal B.O,Branch Post Office,143113,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadal Khurad B.O,Branch Post Office,143201,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadala Bhittewad B.O,Branch Post Office,143106,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadala Viram B.O,Branch Post Office,143601,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadali Guru B.O,Branch Post Office,143105,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wadalkalan B.O,Branch Post Office,143201,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Wan Tara Singh B.O,Branch Post Office,143305,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Warah B.O,Branch Post Office,143409,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Warpal B.O,Branch Post Office,143022,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Waryam Nangal B.O,Branch Post Office,143502,, Amritsar,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Nangal Dial Singh B.O,Branch Post Office,143113,, Fatehpur Rajputan,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Aim A Kalan B.O,Branch Post Office,143301,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Allowal B.O,Branch Post Office,143111,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Amarkot B.O,Branch Post Office,143419,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Amritsar Bus Stand S.O,Sub Post Office,143001,0183-2557621,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Amritsar Kty S.O,Sub Post Office,143001,0183-2565230,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Amritsar Sadar Bazar S.O,Sub Post Office,143001,0183-2565006,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Arjan Mang B.O,Branch Post Office,143114,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Assal Uttar B.O,Branch Post Office,143419,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Attari Rd. Check Post S.O,Sub Post Office,143108,0183-2382660,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Azad Nagar S.O,Sub Post Office,143001,0183-2562019,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
B R Dhab S.O,Sub Post Office,143006,0183-2527622,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Babowal B.O,Branch Post Office,143504,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bagarian B.O,Branch Post Office,143401,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bagga B.O,Branch Post Office,143101,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bagga B.O,Branch Post Office,143504,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bainka B.O,Branch Post Office,143303,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bakipur B.O,Branch Post Office,143202,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bal Khurd B.O,Branch Post Office,143601,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Bal Sarai B.O,Branch Post Office,143204,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
Balbawa B.O,Branch Post Office,143406,,.,AMRITSAR,PUNJAB,AMRITSAR,CHANDIGARH REGION,PUNJAB
