OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Adarsh Nagar (Ajmer) S.O,Sub Post Office,305008,0145-2680619,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ajaiser B.O,Branch Post Office,305005,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ajmer H.O,Head Post Office,305001,0145-2621700,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Alwar Gate Ajmer S.O,Sub Post Office,305008,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Amba Masina B.O,Branch Post Office,305206,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ararka B.O,Branch Post Office,305811,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Asha Ganj Ajmer S.O,Sub Post Office,305001,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ashok Marg Ajmer S.O,Sub Post Office,305001,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Babaicha B.O,Branch Post Office,305811,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Badlia B.O,Branch Post Office,305025,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Beer B.O,Branch Post Office,305025,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bhagwan Pura B.O,Branch Post Office,305022,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bhajan Ganj Ajmer S.O,Sub Post Office,305008,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bhaonta B.O,Branch Post Office,305206,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bhudol B.O,Branch Post Office,305023,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bithur B.O,Branch Post Office,305205,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Bubani B.O,Branch Post Office,305023,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Chachiwas B.O,Branch Post Office,305023,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Chorsiawas B.O,Branch Post Office,305004,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Christirin Ganj Ajmer S.O,Sub Post Office,305005,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Crpf Ajmer S.O,Sub Post Office,305005,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Danta B.O,Branch Post Office,305025,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Dargha Shareef Ajmer S.O,Sub Post Office,305001,0145-2621934,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Deo Nagar B.O,Branch Post Office,305022,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Dhan Mandi Ajmer S.O,Sub Post Office,305001,0145-2621136,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Dhola Bhata Ajmer S.O,Sub Post Office,305007,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Dorai B.O,Branch Post Office,305003,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Dumara B.O,Branch Post Office,305206,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Gagwana S.O,Sub Post Office,305023,0145-2787202,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ganahera B.O,Branch Post Office,305022,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ganj Ajmer S.O,Sub Post Office,305001,0145-2621176,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Gc Road Ajmer S.O,Sub Post Office,305007,0145-2671503,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Gegal Akhari B.O,Branch Post Office,305023,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Glo Ajmer S.O,Sub Post Office,305001,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Googhra B.O,Branch Post Office,305023,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Gujar Dharti Ajmer S.O,Sub Post Office,305001,0145-2666104,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Gulab Bari Ajmer S.O,Sub Post Office,305007,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Hatikhera B.O,Branch Post Office,305005,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Hatundi B.O,Branch Post Office,305012,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Hmt Ajmer Dtso S.O,Sub Post Office,305003,0145-2681399,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Ie Makhu Pura Ajmer S.O,Sub Post Office,305002,0145-2695641,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Jln Hospital Ajmer S.O,Sub Post Office,305001,0145-2621148,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Jones Ganj Ajmer S.O,Sub Post Office,305001,0145-2681909,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Kaiser Ganj Ajmer S.O,Sub Post Office,305001,0145-2621134,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Kaklana B.O,Branch Post Office,305205,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Kanas B.O,Branch Post Office,305022,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
Kanwalai B.O,Branch Post Office,305021,,Ajmer,AJMER,RAJASTHAN,AJMER,AJMER,RAJASTHAN
