OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Dikchu S.O,Sub Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Gor B.O,Branch Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lumlingthyang B.O,Branch Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Rakdong B.O,Branch Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Raley Khesey B.O,Branch Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Samdong B.O,Branch Post Office,737107,,Dikchu,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Bhusuk B.O,Branch Post Office,737103,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Bojoghari B.O,Branch Post Office,737103,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Deorali S.O,Sub Post Office,737102,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Dhajey B.O,Branch Post Office,737102,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Gangtok Bazar S.O,Sub Post Office,737101,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Gangtok H.O,Head Post Office,737101,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Gnathang B.O,Branch Post Office,737102,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Kyanglasha B.O,Branch Post Office,737102,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lingdok B.O,Branch Post Office,737103,,Gangtok,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Yangyang B.O,Branch Post Office,737134,,Singtam,EAST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Chungthang S.O,Sub Post Office,737120,,Chungthang,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lachen B.O,Branch Post Office,737120,,Chungthang,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lachung B.O,Branch Post Office,737120,,Chungthang,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Naga B.O,Branch Post Office,737120,,Chungthang,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Shipgyare B.O,Branch Post Office,737120,,Chungthang,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Kabi S.O,Sub Post Office,737117,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lingthem B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lingthem B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lower Dzongu B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Mangan S.O,Sub Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Manul B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Men Rong Rong B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Namok B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Phamtam B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Phensong S.O,Sub Post Office,737118,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Phudong S.O,Sub Post Office,737119,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Ramthang B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Rangrang B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sangkalan B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Singhik B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Tingchim B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Tingvong B.O,Branch Post Office,737116,,Mangan,NORTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Okharey B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Pipalay B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Reshi B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Ribdi-bhareng B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sanchabarey Daramdim B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sanganath B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sombaria B.O,Branch Post Office,737121,,Jorethang,SOUTH SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
