OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Karuppilakattalai B.O,Branch Post Office,621707,,.,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Adhanakurichi B.O,Branch Post Office,621719,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Adhikudikadu B.O,Branch Post Office,621714,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Alathiyur B.O,Branch Post Office,621719,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ambapur S.O,Sub Post Office,621701,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ameenabad B.O,Branch Post Office,621713,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Anandavadi B.O,Branch Post Office,621718,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Anganur B.O,Branch Post Office,621709,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Annanagar B.O,Branch Post Office,621713,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ariyalur Bazaar S.O,Sub Post Office,621704,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ariyalur Cement Factory S.O,Sub Post Office,621729,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ariyalur S.O,Sub Post Office,621704,04329-222418,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Arungal B.O,Branch Post Office,621707,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Asaveerankudikadu S.O,Sub Post Office,621719,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ayanathur B.O,Branch Post Office,621705,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Ayanthattanur B.O,Branch Post Office,621709,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Cement Nagar Dalavoy S.O,Sub Post Office,621730,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Dalavoy B.O,Branch Post Office,621730,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Edayakurichi B.O,Branch Post Office,621719,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Edayathangudi B.O,Branch Post Office,621707,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Elangaicheri B.O,Branch Post Office,621714,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Govindapuram B.O,Branch Post Office,621713,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Govindaputhur B.O,Branch Post Office,621701,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Hasthinapuram B.O,Branch Post Office,621704,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Idanganni B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Iluppaiyur B.O,Branch Post Office,621718,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Inam Athur B.O,Branch Post Office,621704,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Irugaiyur B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kadambur B.O,Branch Post Office,621701,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kadugur B.O,Branch Post Office,621705,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kaduvettankurichi B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kallankurichi S.O,Sub Post Office,621705,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Karaikurichi B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kargudi B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Karuppur Senapathy B.O,Branch Post Office,621707,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kasankottai B.O,Branch Post Office,621701,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kavanur B.O,Branch Post Office,621704,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Keelamichaelpatti B.O,Branch Post Office,612904,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
Kilaiyur B.O,Branch Post Office,621707,,ARIYALUR,ARIYALUR,TAMIL NADU,TIRUCHIRAPALLI,TIRUCHY,TAMILNADU
