OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Abhanga B.O,Branch Post Office,799286,,ABHANGA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Apareshkar B.O,Branch Post Office,799286,,ABHANGA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Ambassa S.O,Sub Post Office,799289,03826-222230,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Chandraipara B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Harincherra B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kamalacherra B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kanchanpur Colony B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Karnamunipara B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Lakraichowdhuripara B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Sikaribari B.O,Branch Post Office,799289,,AMBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Bagaicherri B.O,Branch Post Office,799285,,BAGAICHERRI,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Balarambazar B.O,Branch Post Office,799204,,BALARAM,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Baligaon B.O,Branch Post Office,799285,,BALIGAON,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Bamancherra B.O,Branch Post Office,799286,,BAMANCHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Baralutma B.O,Branch Post Office,799286,,BARALUTMA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Bhagirathpara B.O,Branch Post Office,799284,,BHAGIRATHPARA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Bullongbassa B.O,Branch Post Office,799284,,BULLONGBASSA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Chailengta S.O,Sub Post Office,799273,03824-264273,CHAILENGTA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Chawmanu B.O,Branch Post Office,799273,,CHAWMANU,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Chengkap B.O,Branch Post Office,799286,,CHENGKAP,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Chotosarma B.O,Branch Post Office,799285,,CHOTOSARMA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Dalapatipara B.O,Branch Post Office,799284,,DALAPATIPARA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Demchedrra Colony B.O,Branch Post Office,799275,,DEMCHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Dhumacherra B.O,Branch Post Office,799275,,DHUMACHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Ganganagar Tribalcolony B.O,Branch Post Office,799289,,GANGANAGAR,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Halahali S.O,Sub Post Office,799286,03826-261233,HALAHALI,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Singibill B.O,Branch Post Office,799285,,HALHULI,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Jagabandhu Para B.O,Branch Post Office,799284,,JAGABANDHUPARA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Jarulcherra B.O,Branch Post Office,799275,,JAMIRCHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Jamthing B.O,Branch Post Office,799286,,JAMTHING,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kachucherra B.O,Branch Post Office,799278,,KACHUCHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Garodtilla B.O,Branch Post Office,799285,,KALACHARI,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Fulcherri B.O,Branch Post Office,799285,,KAMALPUR,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kamalpur Aerodrome B.O,Branch Post Office,799287,,KAMALPUR,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kamalpur Bazar B.O,Branch Post Office,799285,,KAMALPUR,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kamalpur S.O,Sub Post Office,799285,03826-262220,KAMALPUR,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Karatichesdrra B.O,Branch Post Office,799275,,KARATICHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Katalutma B.O,Branch Post Office,799286,,KATALUTMA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kuchainala B.O,Branch Post Office,799287,,KUCHAINALA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Kulaibazar S.O,Sub Post Office,799204,03826-222240,KULAI,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
Laldingabari B.O,Branch Post Office,799273,,LABANCHERRA,DHALAI,TRIPURA,DHARMANAGAR,SHILLONG HQ,NORTH EASTERN
