OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Etmadpur S.O,Sub Post Office,283202,0562-2732322, ETMADPUR,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Kalayanpur Bhagirathpur B.O,Branch Post Office,202124,,.,AGRA,UTTAR PRADESH,ALIGARH,AGRA,UTTAR PRADESH
509command S.O,Sub Post Office,282001,0562-2411107,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra Barrcks S.O,Sub Post Office,282001,0562-2464180,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra Chauk S.O,Sub Post Office,282003,0562-2269143,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra City S.O,Sub Post Office,282003,0562-2521863,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra Fort H.O,Head Post Office,282003,0562-2460761,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra H.O,Head Post Office,282001,0562-2463886,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Agra University S.O,Sub Post Office,282004,0562-2522628,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Artoni B.O,Branch Post Office,282007,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
B.M. Khan S.O,Sub Post Office,282002,0562-2855155,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
B.P Oilmill S.O,Sub Post Office,282003,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
B.V. Bichpuri S.O,Sub Post Office,283105,0562-2636700,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Bainpur B.O,Branch Post Office,282007,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Balu Ganj S.O,Sub Post Office,282001,0562-2621761,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Bamrauli Ahir B.O,Branch Post Office,282009,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Bamrauli Katara B.O,Branch Post Office,282006,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Barara B.O,Branch Post Office,283102,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Barauli Ahir B.O,Branch Post Office,283125,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Barauli Gujar B.O,Branch Post Office,283111,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Belan Ganj S.O,Sub Post Office,282004,0562-2460715,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Bhogipura S.O,Sub Post Office,282010,0562-2211146,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Billoch Pura S.O,Sub Post Office,282002,,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Bodla B.O,Branch Post Office,282007,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Budhana Mustkil B.O,Branch Post Office,282006,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
C.O.D. S.O,Sub Post Office,282009,0562-2412971,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Chhipitola S.O,Sub Post Office,282001,,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Chimman Lal Road S.O,Sub Post Office,282003,,Agra,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Civil Court S.O,Sub Post Office,282002,0562-2854488,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Civil Line S.O,Sub Post Office,282002,0562-2522504,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Collectrate S.O,Sub Post Office,282010,0562-2260556,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Dahtora B.O,Branch Post Office,282007,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Dayal Bagh S.O,Sub Post Office,282005,0562-2570168,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Deoretha B.O,Branch Post Office,283122,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Deori B.O,Branch Post Office,282009,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Digner B.O,Branch Post Office,283125,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Foundry Nagar S.O,Sub Post Office,282006,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
G. L. Emporiaumi S.O,Sub Post Office,282001,0562-2464130,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
G.G Industries S.O,Sub Post Office,282004,0562-2622328,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
G.M Khan S.O,Sub Post Office,282003,0562-2254156,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Gandhi Nagar S.O,Sub Post Office,282003,0562-2521236,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Garsani B.O,Branch Post Office,283102,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Gokulpura S.O,Sub Post Office,282002,0562-2851618,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Gutila B.O,Branch Post Office,283125,,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
Holiday In. S.O,Sub Post Office,282001,0562-2461052,AGRA,AGRA,UTTAR PRADESH,AGRA,AGRA,UTTAR PRADESH
