OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Lambagara B.O,Branch Post Office,263625,,.,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Almora College S.O,Sub Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Almora Court S.O,Sub Post Office,263601,05962-230054,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Almora H.O,Head Post Office,263601,05962-230019,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Ayarpani B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bajwar B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Baldhoti S.O,Sub Post Office,263601,05962-234305,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Balta B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Barechhina S.O,Sub Post Office,263624,05962-261021,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Barsimi B.O,Branch Post Office,263636,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Basoli B.O,Branch Post Office,263622,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bergaon B.O,Branch Post Office,263678,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bey B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bhainsiachhana B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bhainsori S.O,Sub Post Office,263684,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Bhatkola B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Birora B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Chamu Uchyur B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Chaunsli B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Chitai B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Dal B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Darmar Tikhun B.O,Branch Post Office,263643,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Deolikhan B.O,Branch Post Office,263643,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Dhamas B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Dhaura B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Dinapani B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Dova B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Gurkande B.O,Branch Post Office,263636,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Hawalbagh S.O,Sub Post Office,263636,05962-241009,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
I.T.I. Almora B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Jamrari B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Jeoli B.O,Branch Post Office,263643,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kafarkhan B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kanarichhina B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kathpuria B.O,Branch Post Office,263643,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kayala B.O,Branch Post Office,263643,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kharaun B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Khastilari B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kirara B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Kosi S.O,Sub Post Office,263643,05962-241016,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Lala Bazar S.O,Sub Post Office,263601,05962-234008,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Laxmeshwar S.O,Sub Post Office,263601,05962-233228,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Lodhia B.O,Branch Post Office,263601,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Mangalta B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Maniagar B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
Nagarkhan B.O,Branch Post Office,263624,,Almora,ALMORA,UTTARAKHAND,ALMORA,DEHRADUN,UTTARAKHAND
