OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NUMBER,TALUK,DISTRICT,STATE/UNION TERRITORY,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Carnicobar S.O,Sub Post Office,744301,03192-265245,CARNICOBAR,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kakana B.O,Branch Post Office,744301,,CARNICOBAR,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Lapathy B.O,Branch Post Office,744301,,CARNICOBAR,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Mus B.O,Branch Post Office,744301,,CARNICOBAR,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kondul Island B.O,Branch Post Office,744302,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Little Nicobar B.O,Branch Post Office,744302,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Mildera B.O,Branch Post Office,744304,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Nancowrie S.O,Sub Post Office,744303,03192-263223,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Nehrugram B.O,Branch Post Office,744304,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Pilomilo Island B.O,Branch Post Office,744302,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Trinket B.O,Branch Post Office,744303,,NANCOWRIE,NICOBAR,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Aerial Bay B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Diglipur S.O,Sub Post Office,744202,03192-272232,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Hathilevel B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kalighat B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kishorinagar B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Laxmipur B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Navagram B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Pashimsagar B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Ramnagar B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Sitanagar B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Smith  Island B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Swarajgram B.O,Branch Post Office,744202,,DIGLIPUR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Mayabander S.O,Sub Post Office,744204,03192-273228,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Nimbudera B.O,Branch Post Office,744201,,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Pudumadurai B.O,Branch Post Office,744204,,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Rampur B.O,Branch Post Office,744204,,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Tugapur B.O,Branch Post Office,744204,,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Weby B.O,Branch Post Office,744204,,MAYABANDER,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Kanchangarh B.O,Branch Post Office,744210,,PORT BLAIR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Oralkatcha S.O,Sub Post Office,744210,03192-279521,PORT BLAIR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
Sankarnalla B.O,Branch Post Office,744210,,PORT BLAIR,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,A - N ISLANDS,CALCUTTA,WEST BENGAL
